wrkloss,share,dimension,group,date_range
loss,0.47,total,CT,2020-04-23_2020-06-30
loss,0.54,age_range,ages18_34,2020-04-23_2020-06-30
loss,0.53,age_range,ages35_64,2020-04-23_2020-06-30
loss,0.25,age_range,ages65plus,2020-04-23_2020-06-30
loss,0.43,race,white,2020-04-23_2020-06-30
loss,0.48,race,black,2020-04-23_2020-06-30
loss,0.62,race,latino,2020-04-23_2020-06-30
loss,0.45,race,asian,2020-04-23_2020-06-30
loss,0.55,kids_present,kids_in_house,2020-04-23_2020-06-30
loss,0.43,kids_present,no_kids,2020-04-23_2020-06-30
